ID,Title,Abstract,Text,Topic type,Categories,Author,Date added,Version date,Note
71,Optimale Lagerbedingungen,,"Unter optimalen Bedingungen können Tomaten je nach Reifegrad bis zu 2 Wochen gelagert werden:

* Tomaten mit Grün reifen nach, ohne nicht.
* nicht mit anderem Obst/ Gemüse lagern da starke Absonderung des natürlichen Reifegases Ethylen
* unmittelbar vor dem Verzehr waschen
* Temperatur 12-16 °C
* schattig
* luftig und hohe Luftfeuchtigkeit
* einzeln nebeneinander auf weichem Untergrund lagern

https://www.tomaten.de/tomaten-richtig-lagern/[Quelle]",pantry_storage,Fresh tomatoes,Micha Gattinger,2020-08-05,2020-08-22,
72,Bröckeliges Brot,,"Wenn frisches Brot oder Brötchen anfangen, bröckelig zu werden, so ist das ein Zeichen Zeichen für harmlose Umwandlungsprozesse (Wasser / Stärke / Protein).",symptoms,Breads,Micha Gattinger,2020-08-05,2020-08-22,
73,Riechen und Sehen,,". *An der Milch riechen.* Frische Milch hat keinen Eigengeruch. Verdorbene Milch riecht säuerlich bis streng.

. *Auf optische Veränderung untersuchen.*
** Wenn Milch schlecht wird entstehen Gase, welche die Verpackung aufblähen.
** Bilden sich in der Milch Klumpen oder Wasser, hat der Zersetzungsprozess begonnen
** Milch ist immer gleichmäßig weiß. Schimmert die Milch gelblich, so ist sie verdorben

https://de.wikihow.com/Erkennen-ob-Milch-schlecht-ist[Quelle]",assessment,"UHT Milks
Condensed milks",Micha Gattinger,2020-08-05,2020-08-26,
74,Haltbarkeit von Pflanzenmilch,,"Vor allem Hafer-, Mandel- oder Reismilch sind relativ wässrig was die Haltbarkeit unterstützt. Sojamilch hält sich aufgrund des erhöhten Eiweißanteiles weniger lange.",refrigerator_storage,Plant milks,Micha Gattinger,2020-08-05,2020-08-22,
75,Riechen und Sehen,,". *Riechen.* Frische Pflanzenmilch hat keinen Eigengeruch. Verdorbene Pflanzenmilch riecht muffig bis säuerlich.

. *Beobachten.*
** Wenn die Konsistenz nicht mehr wässrig sondern schmierig ist, ist die Pflanzenmilch verdorben.
** Bilden sich erste Klümpchen in der Pflanzenmilch, ist diese schlecht.
** Hat sich Schimmel gebildet, wegschütten.

https://www.vital.de/news/artikel/verdorbene-pflanzenmilch-erkennen[Quelle]",assessment,Plant milks,Micha Gattinger,2020-08-05,2020-08-22,
76,Lagerdauer,,"Reine („dunkle“) Schokolade ohne Füllungen bleibt sehr lange verzehrfähig, auch über das Mindesthaltbarkeitsdatum typischer Supermarktprodukte hinaus. Deshalb wird Schokolade auch z.B. in den sogenannten Einmannpackungen vieler Streitkräfte verwendet, dann mit einer angegebenen Haltbarkeit von 3 bis 10 Jahren (https://de.wikipedia.org/wiki/Einmannpackung#Die_einzelnen_Pakete[Beispiel]).",pantry_storage,Dark chocolates,Micha Gattinger,2020-08-05,2020-08-26,
77,Fett- und Zuckerreif,,"Bildet sich auf der Schokolade ein weißlich bis hellgrauer Belag, so hat sich Fett oder Zucker kristallisiert und bildet den Fett- bzw. Zuckerreif. Dieser ist gesundheitlich absolut unbedenklich und mindert auch nicht den Geschmack.

https://de.wikipedia.org/wiki/Reif_(Schokolade)[Quelle]",symptoms,Chocolates,Micha Gattinger,2020-08-05,2020-08-22,
78,Nicht für Kleinkinder,,Honig nicht Kleinkindern unter einem Jahr geben (https://www.laves.niedersachsen.de/startseite/lebensmittel/lebensmittelgruppen/honig/bienenhonig-nicht-fuer-kleinkinder-unter-einem-jahr-74002.html[Details]).,risks,Honeys,Micha Gattinger,2020-08-05,2020-08-22,
79,Typen und Lagerdauer,,"Die Lagerdauer einer Konserve hängt von ihrem Typ ab:

. *Halbkonserven (Kesselkonserven)* werden durch Pasteurisieren (siehe 4.2.1) auf 65-95 °C (F-Wert 0,4-0,7) Kerntemperatur erhitzt. Hierdurch werden die meisten pathogenen, nicht aber sämtliche lebende Keime abgetötet. Daher sind diese bei 4 - 5 °C rund 6 Monate haltbar. 

. *Dreiviertelkonserven* werden durch Pasteurisieren (siehe 4.2.1) auf rund 100 °C (F-Wert 0.8-1,5) Kerntemperatur erhitzt. Lagerdauer 6-12 Monate bei 7-10 Grad (27, 28).

. *Vollkonserven* werden durch Dampfsterilisation (siehe 4.2.2) mit mind. 117 °C und max. 131 °C (F- Wert 5,0-6,0) Kerntemperatur erhitzt (27, 28). Diese Konservierung ist bei max. 25 °C Lagertemperatur theoretisch nahezu unbegrenzt haltbar (26).

. *Tropenkonserven* werden durch Dampfsterilisation (siehe 4.2.2) auf 132 - 135 °C ( F-Wert 16,0-20,0) erhitzt. Sie sind bei max. 40 °C theoretisch nahezu unbegrenzt haltbar.",pantry_storage,Canned foods,Micha Gattinger,2020-08-05,2020-08-22,
80,Lagerung nur im Kühlschrank,,"Dies ist ein kalt gepresstes Öl mit einem hohen Anteil an mehrfach ungesättigten Fettsäuren. Solche Öle müssen im Kühlschrank gelagert werden.

https://de.wikipedia.org/wiki/Speisefette_und_Speise%C3%B6le[Quelle]",refrigerator_storage,"Linseed oils
Walnut oils
Safflower oils
Soybean oils",Micha Gattinger,2020-08-05,2020-08-22,Add category “Cotton seed oils” once available in Open Food Facts.
81,Richtige Lagerung,,"Für dieses Öl und andere Öle mit einem mittleren Anteil an mehrfach ungesättigten Fettsäuren wird eine Lagerung bei 20 °C empfohlen. Lagerung im Kühlschrank ist nicht notwendig.

https://de.wikipedia.org/wiki/Speisefette_und_Speise%C3%B6le[Quelle]",pantry_storage,"Rapeseed oils
Olive oils
Peanut oils",Micha Gattinger,2020-08-05,2020-08-22,
82,Nicht zum Braten verwenden,,"Dieses Öl hat einen mittleren oder hohen Anteil an mehrfach ungesättigten Fettsäuren. Solche Öle haben einen geringen Rauchpunkt und bilden daher bei hohen Temperaturen krebserregende Stoffe. Sie sollten daher nicht zum Braten oder Backen verwendet werden, wo sie solchen Temperaturen ausgesetzt sein könnten.

Anders liegt der Fall, wenn dieses Öl bei der Herstellung raffiniert wurde. Raffinierte Öle werden bei fast immer weit über 100 Grad gepresst und verlieren dabei fast alle mehrfach gesättigten Fettsäuen. Dafür erhöht sich der Rauchpunkt (wichtig für das Braten und Backen). Außerdem erhöht sich die Haltbarkeit.

https://de.wikipedia.org/wiki/Speisefette_und_Speise%C3%B6le[Quelle]",risks,"Linseed oils
Walnut oils
Safflower oils
Soybean oils
Rapeseed oils
Olive oils
Peanut oils",Micha Gattinger,2020-08-05,2020-08-22,Add category “Cotton seed oils” once available in Open Food Facts.
83,Richtige Lagerung,,"Dies gehört zu der Gruppe der Öle, Schmalze, Talge und Fette mit wenig oder sehr wenig mehrfach ungesättigten Fettsäuren. Das sollte bedeuten, dass eine Lagerung bei ca. 20 °C möglich ist und kein Kühlschrank benötigt wird, wenn auf der Packung nicht anders angegeben.

https://de.wikipedia.org/wiki/Speisefette_und_Speise%C3%B6le[Quelle]",pantry_storage,"Lards
Palm oils
Butter oil or concentrated butter
Coconut oils",Micha Gattinger,2020-08-05,2020-08-22,
84,Unbedenklich,,"Dieses Lebensmittel ist unbedenklich für einige Jahre haltbar.

https://www.br.de/radio/bayern1/mindesthaltbarkeitsdatum-verbrauchsdatum-unterschied-102.html[Quelle]",pantry_storage,"Ground dried aromatic plants
Lyophilized aromatic plants
Cocoa powders
Baking powder or raising agent
Vanilla powder
Vanilla sugars",Micha Gattinger,2020-08-05,2020-08-22,Add the English categories corresponding to German “Orangeat” and “Zitronat” once available in Open Food Facts.
85,Vor Gebrauch überprüfen,,"Nach dem Ablauf des Mindesthaltbarkeitsdatums sollten ganze Vanilleschoten vor dem Gebrauch überprüft werden. Es besteht die Gefahr von Schimmelbefall.

https://www.br.de/radio/bayern1/mindesthaltbarkeitsdatum-verbrauchsdatum-unterschied-102.html[Quelle]",pantry_storage,Vanilla pods,Micha Gattinger,2020-08-05,2020-08-22,
86,Vor Gebrauch überprüfen,,"Nach dem Ablauf des Mindesthaltbarkeitsdatums sollten Nüsse vor dem Gebrauch überprüft werden. Es besteht die Gefahr von Ranzigwerden und Schimmelbefall.

https://www.br.de/radio/bayern1/mindesthaltbarkeitsdatum-verbrauchsdatum-unterschied-102.html[Quelle]",pantry_storage,Nuts,Micha Gattinger,2020-08-05,2020-08-22,
87,Vor Gebrauch überprüfen,,"Nach dem Ablauf des Mindesthaltbarkeitsdatums sollten Trockenfrüchte vor dem Gebrauch überprüft werden. Es besteht die Gefahr von Schimmelbefall.

https://www.br.de/radio/bayern1/mindesthaltbarkeitsdatum-verbrauchsdatum-unterschied-102.html[Quelle]",pantry_storage,Dried fruits,Micha Gattinger,2020-08-05,2020-08-22,
88,Ranzigwerden,,"Wenn pflanzliche oder tierische Fette verderben, spricht man von Ranzigwerden. Schon im Anfangsstadium treten dabei schon Geruchs- und Geschmacksveränderungen auf. Rein chemisch betrachtet oxidiert das Fett, ein ähnlicher Vorgang also wie wenn Eisen rostet.

Wie schnell Öl und Fett ranzig wird hängt von der Anzahl an ungesättigten Fettsäuren ab. Während gesättigte Fettsäuren chemisch stabil sind, sind ungesättigte Fettsäuren chemisch sehr instabil. Bei der Oxidation regieren diese mit Sauerstoff. Steigt die Temperatur, beschleunigt sich der Prozess. Die Oxidationsneigung von einfach ungesättigten Fettsäuren liegt dabei ca. um den Faktor 100 höher als bei gesättigten Fettsäuren, bei mehrfach ungesättigten Fettsäuren bis Faktor 2500. 

Raffinierte Öle werden bei fast immer weit über 100 °C gepresst und verlieren dabei fast alle mehrfach gesättigten Fettsäuen. Dadurch erhöht sich auch der Rauchpunkt (wichtig für das Braten und Backen).

Quellen: https://de.wikipedia.org/wiki/Speisefette_und_Speise%C3%B6le[1], https://de.wikipedia.org/wiki/Ranzig_(Fett) [2], https://de.wikipedia.org/wiki/Rauchpunkt[3]",risks,"Fresh meats
Milks
Plant milks
Chocolates
Cheeses
Butters",Micha Gattinger,2020-08-05,2020-08-26,
89,Legionellen,,"Legionellen sind aerobe Bakterien der Familie Legionellaceae, Gattung Legionella. Übertragung über fein zerstäubten Wassernebel (Aerosol) wie z.B. in der Dusche. Ideale Wachstumsbedingungen zwischen 25-45 °C Wassertemperatur. Über 60 °C sterben diese Keime ab.

Das Trinken ist ungefährlich da die Magensäure die Legionellen abtötet. Mögliche Infektion beim Trinken besteht jedoch, wenn Wasser versehentlich in die Luftröhre gelangt. https://www.rki.de/DE/Content/Infekt/EpidBull/Merkblaetter/Ratgeber_Legionellose.html#doc2387614bodyText5[Quelle]

Auch ist eine Infektion denkbar wenn Wasser durch unter Druck stehende Kohlensäure beim Öffnen der Flasche zerstäubt und dann eingeatmet wird.",risks,Waters,Micha Gattinger,2020-08-05,2020-08-27,
90,Salmonellen,,"## Allgemeines

Salmonellen sind eine Bakteriengattung der beiden Arten Samonella enterica und Salmonella Bongori. Diese kommen im Magen-Darm-Trakt vieler Haus-, Zucht- und Wildtiere vor. Infizierte Tiere können phasenweise oder andauernd Salmonellen ausscheiden. Hühnereier können auch über die Eierstöcke der Legehenne kontaminiert werden.

Syntome einer Salmonellen-Infektion sind Übelkeit, Erbrechen, Bauchschmerzen, Fieber und Durchfall.

## Vermehrung verhindern

Salmonellen überleben in der Gefriertruhe, vermehren sich ab 7 °C und können sich besonders gut auf ungekühlten Lebensmittel vermehren. Sie werden sicher abgetötet durch eine Temperatur von über 70 °C für mindestens 10 Minuten.

## Betroffene Lebensmittel

* rohe und nicht ausreichend erhitzte Fleisch- und Wurstwaren
* rohe und nicht ausreichend erhitzte Eier 
* Tee (https://www.laves.niedersachsen.de/startseite/lebensmittel/lebensmittelgruppen/getranke/-73029.html[Quelle])
* Rohmilch
* Rohmilchkäse

https://www.laves.niedersachsen.de/startseite/lebensmittel/lebensmittelgruppen/fleisch_fleischerzeugnisse/wie-koennen-salmonellen-infektionen-vermieden-werden-73960.html[Quelle]",risks,"Fresh meats
Raw egg
Boiled eggs
Teas
Herbal teas
Unpasteurised cheeses
Raw milks
Caviars",Micha Gattinger,2020-08-05,2020-08-27,TODO: Is it true that salmonella can affect boiled eggs?
91,Listerien,,"Die Spezies Listeria Nonocytogenes kann Listeriose auslösen. Listerien sind in der Umwelt bzw. der Landwirtschaft weit verbreitete Bakterien. Für gesunde Menschen sind sie meist harmlos und eine Listeriose wird oft nicht bemerkt. Für ungeborene Babys und ältere oder immungeschwächte Menschen sind Listerien gefährlich.

Listerien überleben in der Gefriertruhe und werden sicher bei einer Temperatur von über 70 °C für  mindestens 2 Minuten abgetötet.

## Betroffene Lebensmittel

Hygiene im Umgang mit diesen Lebensmittel ist hier immer wichtig. Auch bei der Zubereitung bzw. dem Verzehr auf Sauberkeit achten.

* Rohmilchkäse
* rohe Milch
* Weichkäse
* Schaf- und Ziegenkäse
* Fleisch und Fisch roh, an- und nicht durchgebraten
* kurz- bzw. schnell gereifte Rohwurstwaren
* angeschnittene Fleisch- und Wurstwaren
* ungewaschenes Obst und Gemüse
* Sprossen und Salat (vor allem wenn geschnitten oder abgepackt)

https://www.lgl.bayern.de/lebensmittel/hygiene/bakterien/listerien/[Quelle]",risks,"Meats
Unpasteurised cheeses
Raw milks
Fresh fruits
Fresh vegetables
Lettuces
Sprouts",Micha Gattinger,2020-08-05,2020-08-27,"Applies to all meat products that have been cut – which means, potentially to all meats, so placing that main category is enough."
92,Schimmel,,"Sichtbarer Schimmel entsteht durch die massive Zunahme von Schimmelpilz-Zellen auf der Oberfläche. Schimmelpilze bestehen aus:

* Einem Sporenträger, welcher der Fortpflanzung besteht und meist pelzig in verschiedenen Farben auftritt. Dieser sieht ekelig aus, ist aber nicht gefährlich.
* Vielen kleinen Fäden, den Myzellen. Diese sind mit dem Auge nicht zu sehen und können sich durch das ganze Produkt ziehen. Diese Myzellen-Fäden enthalten Gifte welche als Stoffwechselprodukte beim Wachstum des Pilzes entstehen. Diese Gifte können zu unterschiedlichen Krankheiten führen, die Entstehung von Krebs begünstigen bzw. krebserregend sein und können in entsprechenden Mengen auch unmittelbar tödlich sein.

## Optimale Bedingungen für Schimmelwachstum

* pH-Wert zwischen 4,5 und 6,5
* Kohlenhydrate (Mix aus Stärke, Zucker und Ballaststoffen)
* Proteine (Eiweiß)
* Feuchtigkeit. Schimmel benötigt Wasser zum wachsen. Je mehr Wasser im Lebensmittel, desto höher die Gefahr von Schimmelbefall.

## Tipps für den Umgang mit Schimmelpilz

* Es reicht nicht, den Pelz vom Lebensmittel wegzuwischen bzw. abzuwaschen.
* Schimmelpilze können weitere Lebensmittel „anstecken“. Daher immer befallene Lebensmittel separieren.
* Das Gift (die Mykotoxine) kann nicht durch Kochen, Braten oder Backen zerstört werden.
* Das Gift (die Mykotoxine) lässt sich mittels Schwarzlicht (UVA) sichtbar machen (1).
* Als Faustregel kann man sagen, dass ein mit Schimmel befallenes Lebensmittel mit großem Wasseranteil komplett entsorgt werden muss. Um so trockener ein Lebensmittel ist, desto weniger kann der Schimmelpilz seine unsichtbaren Myzellen-Fäden im Lebensmittel verteilen. Dann ist es ausreichend, die betroffene Stelle großzügig aus dem Lebensmittel heraus zu schneiden.
* Diese Lebensmitel müssen bei Schimmelbefall (Verfärbung, pelzige Stellen oder muffiger Geruch) weggeworfen werden:
** Nüsse, Kräuter und Gewürze
** Brot
** Trockenobst

## Quellen

. https://www.bfr.bund.de/de/presseinformation/2009/01/von_aflatoxin_bis_zearalenon___wissenschaft_macht_lebensmittel_sicher-27754.html[1]
. https://www.lgl.bayern.de/lebensmittel/chemie/schimmelpilzgifte/mutterkornalkaloide/index.htm
. https://de.wikipedia.org/wiki/Mycel
. https://www.lwk-niedersachsen.de/index.cfm/portal/6/nav/1100/article/35482.html
. https://www.wissen.de/raetsel/warum-schimmeln-brot-und-andere-lebensmittel
. https://www.svb-geith.de/Seite67.html

Liste weiterer Mykotoxine:
https://de.wikipedia.org/wiki/Mykotoxin",risks,"Fresh meats
Nuts and their products
Aromatic herbs
Spices
Breads
Dried fruits
Raw egg
Boiled eggs
Caviars
Fresh fruits
Fresh vegetables
Mushrooms
Milks
Plant milks
Cheeses
Fermented milk products",Micha Gattinger,2020-08-05,2020-08-27,"TODO: The document said to also include “Butters” here, but that seems rather far fetched?"
93,Aflatoxin,,"Aflatoxin ist ein Gift das von den Schimmelpilzen Aspergillus flavus und Aspergillus parasiticus gebildet wird. Gesundheitliche Beurteilung: Krebserregend, schädigt die Leber

Betroffene Lebensmittel sind Reis, Hirse, Sojabohnen, ölhaltige Samen wie Mohn und Sesam, Nüsse, Gewürze und getrocknete Früchte, speziell Feigen.",risks,"Rices
Millet
Soy
Papaver seeds
Sesame
Nuts
Spices
Dried fruits
Dried figs",Micha Gattinger,2020-08-05,2020-08-27,TODO: Add category “oilseeds” once that exists in Open Food Facts.
94,Ochratoxine,,"Ochratoxine sind Gifte die von den Schimmelpilzen der Gattung Aspergillus und Penicillium gebildet werden. Gesundheitliche Beurteilung: krebserzeugend und erbgutschädigend.

Unschädlich ab 169 °C.",risks,"Common wheats
Wheat flours
Barley
Barley flours
Rye
Rye flours
Oat
Oat flours
Corn
Corn flours
Buckwheat
Buckwheat flours
Millet
Millet flours
Grapes
Figs
Citrus
Coffees
Cocoa powders",Micha Gattinger,2020-08-05,2020-08-27,TODO: The original text also contained a category “Fruchtgewürzarten”. What’s that?
95,Patulin,,"Ursprung in Schimmelpilzen der Gattung Penicillium, Aspergillis. Gesundheitliche Beurteilung: Erbrechen, Verdauungsstörungen, Magenschleimhautentzündungen.

Kann durch Kochen abgebaut werden.

* faulendes Obst und Gemüse
* Brot
* Fleisch-einkochen",risks,"Fruits
Vegetables
Breads
Canned meats",Micha Gattinger,2020-08-05,2020-08-27,"TODO: Find out what “Fleisch-einkochen” in the list of affected food categories means, and add categories correspondingly."
96,Mutterkornalkaloide und Mutterkorntoxine,,"Ursprung im Schlauchpilz Claviceps purpurea. Gesundheitliche Beurteilung: Übelkeit, Kopfschmerzen, Krämpfe, Gefühllosigkeit in Armen und Beinen.

Betroffene Lebensmittel:

* Roggen
* Triticale (Kreuzung aus Roggen und Weizen)
* seltener Gerste, Weizen, Dinkel",risks,"Rye
Rye flours
Triticale
Barley
Barley flours
Common wheats
Wheat flours
Spelts
Spelt flours",Micha Gattinger,2020-08-05,2020-08-27,TODO: Add category “Spelt” once it’s added to the Open Food  Facts taxonomy.
97,Gefrierbrand,,"Gefrierbrand entsteht durch Temperaturschwankungen im eingefrorenen Zustand. Die Fläche des Gefrierbrandes taut etwas an, Wasser entweicht. Meist bilden sich dann schneeartige Eiskristalle an z.B. der Verpackung. Der Teil des vom Gefrierbrand geschädigten Lebensmittel kann ohne Bedenken gegessen werden. Bei Gefrierbrand entstehen keine giftigen Stoffe, diese Stellen schmecken aber nicht mehr. Es ist völlig ausreichend die betroffene Stelle heraus zu schneiden, da das restliche Stück in keinster Weise durch den Gefrierbrand beeinträchtigt ist (5,6)",risks,Meats,Micha Gattinger,2020-08-05,2020-08-27,
98,Verfaulen,,"Verfaulen oder Fäulnis ist eine natürliche Form der Gärung. Durch Sauerstoffmangel zersetzen Mikroorganismen Lebensmittel. Hierbei entstehen Propionsäure, Essigsäure, Ethanol, Amine, Ammoniak und Schwefelwasserstoff. Letztere sind auch für den unangenehmen Geruch verantwortlich. Neben dem Geruch sind bei eiweißreichen Lebensmittel wie z.B. Fisch oder Fleisch eine gelb- grünliche Verfärbung sowie Schleim deutliche Anzeichen für Fäulnis.

Bei z.B. Säften werden beim Verfaulen Kohlenhydrate durch wilde Hefen abgebaut. Erste Anzeichen sind Schaum auf dem Saft. Das Gas Kohlenstoffdioxid entsteht und macht den Saft prickelnd. Auch lässt sich der entstehende und im Fäulnisprozess steigende Alkoholgehalt riechen.

Ist noch kein Schimmel zu sehen, reicht es bei den meisten Lebensmittel aus die faule Stelle großflächig herauszuschneiden. Ausnahme sind sehr wasserreiche Lebensmittel wie z.B. Tomaten, Salatgurken, Pflaumen, Pfrsiche.

Druckstellen haben übrigens nichts mit dem Verfaulen zu tun. Druckstellen sind Schäden im Gewebe. Dort ist der Vitamingehalt niedriger, ansonsten sind Druckstellen unbedenklich. 

## Quellen

. https://de.wikipedia.org/wiki/F%C3%A4ulnis
. https://www.planet-wissen.de/gesellschaft/essen/frischhalten/pwiesoverderbenlebensmittel100.html#Faeulnis
. https://www.gesundheitstipp.ch/artikel/artikeldetail/angefaulte-fruechte-noch-essbar/
. https://www.gemuesehofhoerz.de/files/hoerz/05-rezepte%20und%20warenkunde/bilder%20oekokiste/Lagertipps-verband.pdf",risks,"Meats
Fishes
Fresh fruits
Fresh vegetables
Fruit and vegetable juices",Micha Gattinger,2020-08-05,2020-08-27,
99,Pökeln,,"Pökeln ist eine einfache Methode, frisches Fleisch und frischen Fisch zu konservieren. Pökeln entzieht dem Fleisch einen Teil der Flüssigkeit (freies Wasser). Dadurch wird das Bakterienwachstum gehemmt, das Fleisch verliert an Gewicht und die Fleischstruktur wird fester. Wichtig für die Haltbarkeit ist auch, den PH-Wert im Fleisch zu senken (Absäuerung).

Als Basis dient meist Pökelsalz, eine Mischung aus Speisesalz mit einer Beimischung von max. 0,5% Natriumnitrit (NaNO~2~ / E250). Die Beimischung von Natriumnitrit ermöglicht seine wirksame Konservierung gegen bestimmte Keime wie Salmonellen und Clostridium botulinum und sorgt für den Erhalt der roten Fleischfarbe. Die Beigabe von Nitrit vermindert auch das Ranzigwerden des Fettes und sorgt für das Pökelaroma (7).

Nitrit wird, richtig angewendet, während des Reife- bzw. Pökelverlaufes in Stickoxid umgewandelt. Die korrekte Dosierung des Nitritanteiles (maximal 0,5%, im Pökelsalz), die Einhaltung der Reifezeit und Hilfsstoffe wie Natriumascorbat, Ascorbinsäure bzw. Zucker beschleunigen die Umwandlung (8).

Es gibt verschiedene Arten von Pökeln:

* Trockenpökeln (erzielt mit bis zu 50% den höchsten Flüssigkeitsentzug (18))
* Nasspökeln
* Schnellpökeln

https://de.wikihow.com/Schweinefleisch-p%C3%B6keln[Anleitung zum Pökeln]",preservation,Fresh meats,Micha Gattinger,2020-08-05,2020-08-27,"TODO: In sentence “Wichtig für die Haltbarkeit ist auch, den PH-Wert im Fleisch zu senken (Absäuerung).”, clarify if this is done by curing the meat with curing salt, or if this needs other processing or additives."
100,Nitrosamine,,"Alle mit Natriumnitrit, Kaliumnitrat oder den E-Nummer von 250 bis 252 behandelte Fleischarten sollten nicht gegrillt werden da sich beim Grillen das krebserregende Nitrosamine bildet. Ein schonendes Erwärmen in einem Wasserbad ist unbedenklich.",risks,Raw cured ham,Micha Gattinger,2020-08-05,2020-08-27,TODO: Add “Cured meats” once there is such a category.
101,Einkochen,,"Einkochen ist eine schnelle und mit einfachen Mitteln umsetzbare Methode, um Obst, Gemüse und Fleisch haltbar zu machen. Einkochen bedeutet, frische Lebensmittel durch Hitzebehandlung und Luftabschluss ungekühlt lange haltbar zu machen.

## Arten des Einkochens

Grundsätzlich gibt es folgende Arten des Einkochens:

* *Pasteurisation.* Für Lebensmittel mit einem pH von weniger als 4,5 (10).
* *Dampfsterilisation.* Für Lebensmittel mit einem pH von mehr als 4,5 (11).

## pH-Werte von Lebensmitteln

Der pH-Wert von Lebensmitteln entscheidet über die Art des Einkochens. Die Angaben der pH-Werte von Lebensmittel sind oft widersprüchlich (insbesondere in Online-Quellen). Für das Einkochen ist der pH-Wert von unverdauten Lebensmitteln entscheidend. Die Tabellen in Säure-Basen-Diätratgebern sind für das Einkochen nicht geeignet, da sich auf den pH-Wert während der Verstoffwechslung im Körper beziehen (9). Alle pH-Werte sind außerdem Richtwerte, die in der Praxis schwanken können. Es empfiehlt sich daher immer, den pH-Wert mit einem pH-Meter selbst zu bestimmen.

Quellen: https://www.edu.tum.de/fileadmin/tuedz01/www/Sch%C3%BClerkonferenz/Facharbeiten_2007/sophia_betzler.pdf[1], https://www.wrigley-dental.de/images/itempics/item_407_pdf_1.pdf[2].",preservation,"Fresh meats
Raw fishes
Fresh fruits
Fresh vegetables",Micha Gattinger,2020-08-05,2020-08-27,
102,Pasteurisation,,"Pasteurisation ist für Lebensmittel mit einem pH von weniger als 4,5 geeignet (10). Bei der Pasteurisation bewegt sich die Temperatur meist im Bereich von 60 - 100 °C. Diese Art des Haltbarmachens ist insbesondere geeignet für manche Arten von Obst und Gemüse. Auch Rohmilch, Fisch und Fleisch werden in der industriellen Produktion pasteurisiert, wodurch sich allerdings nur eine recht begrenzte Haltbarkeit ergibt. Für Details vergleiche die Artikel zu den entspr. Lebensmitteln.

Siehe auch: [Einkochzeiten für Obst und Gemüse](http://www.einkochen.info/einkochzeiten/).",preservation,"Fresh fruits
Fresh vegetables",Micha Gattinger,2020-08-05,2020-08-27,"TODO: Insert internal Hyperlinks to the articles about pasteurizing milk, fish and meat, once a mechanism for such hyperlinks has been developed."
103,Ultrahocherhitzen,,"Rohmilch enthält Mikroorganismen und Keime. Gleichzeitig hat Rohmilch einen pH-Wert von 6,8. Um Lebensmittel mit einem pH-Wert von mehr also 4,5 dauerhaft haltbar zu machen, müssen diese sterilisiert werden. Bei Milch geschieht dies mittels einer Ultrahocherzitzung für 2-3 Sekunden bei 135 - 150 °C. Diese H-Milch ist auch mikrobiologisch noch lange nach dem Ablauf des Mindesthaltbarkeitsdatums genießbar, der Geschmack kann sich aber verändern. (https://de.wikipedia.org/wiki/Ultrahocherhitzung[Quelle])

In jedem Fall lohnt sich eine Überprüfung der abgelaufenen Milch bevor diese weggeworfen wird (https://de.wikihow.com/Erkennen-ob-Milch-schlecht-ist[Anleitung]).",assessment,UHT Milks,Micha Gattinger,2020-08-05,2020-08-27,
104,Pasteurisieren,,"Frischmilch ist nur pasteurisiert, was aufgrund ihres pH-Wertes von 6,8 ungünstig ist. Deshalb ist Frischmilch nur sehr kurz haltbar. Hier wird die Milch für 15 - 30 Sekunden auf 72 - 75 °C erhitzt und möglichst schnell auf max. 4,4 °C abgekühlt. Durch diese Variante kommt es zu einem minimalen Nährstoffverlust gegenüber der Rohmilch und die Milch ist für mehrere Wochen gekühlt haltbar. Wenn die Milch nicht innerhalb von 4 Stunden nach dem Erhitzen auf 4,4 °C herabgekühlt wurde, war das Pasteurisieren nicht erfolgreich und muss wiederholt werden.

In jedem Fall lohnt sich eine Überprüfung der abgelaufenen Milch bevor diese weggeworfen wird (https://de.wikihow.com/Erkennen-ob-Milch-schlecht-ist[Anleitung]).",assessment,Fresh milks,Micha Gattinger,2020-08-05,2020-08-27,
105,Pasteurisieren,,"Pasteurisieren von Milch ist aufgrund des pH-Wertes von 6,8 ungünstig aber macht Rohmilch zumindest für wenige Wochen gekühlt haltbar. Beim Pasteurisieren wird die Milch für 15 - 30 Sekunden auf 72 - 75 °C erhitzt und möglichst schnell auf max. 4,4 °C abgekühlt. Durch diese Variante kommt es nur zu einem minimalen Nährstoffverlust gegenüber der Rohmilch. Wenn die Milch nicht innerhalb von 4 Stunden nach dem Erhitzen auf 4,4 °C herabgekühlt wurde, war das Pasteurisieren nicht erfolgreich und muss wiederholt werden.

Pasteurisieren von Milch ist im Haushalt möglich: https://de.wikihow.com/Milch-pasteurisieren[Anleitung].",preservation,Raw milks,Micha Gattinger,2020-08-05,2020-08-27,
106,Haltbarkeit von kühlpflichtigen Konserven,,"Obwohl diese Lebensmittel einen pH über 4,5 besitzen, werden viele Produkte nur pasteurisiert. In Halbkonserven (s.15.1) verpackt sind diese maximal 6 Monate bei 4 Grad Lagerung haltbar. In Dreiviertelkonserven (s.15.2) maximal 12 Monate bei bis 7 Grad Lagertemperatur.",assessment,"Canned meats
Canned fishes",Micha Gattinger,2020-08-05,2020-08-27,
